real_name,din_pbias,din_2009,din_2010,din_2011,din_2012,din_2013,din_2014,din_2015,din_2016,din_2017,NSE
87,-0.0657523,70814.2,124345.0,62572.6,51042.8,17543.5,8595.43,19790.3,71582.5,6888.21,0.23674706378866905
88,-1.05852,70444.0,133249.0,59128.8,52773.1,21196.9,8650.8,18570.0,58055.0,6802.89,0.2749330400247164
89,-0.0824279,68142.2,132042.0,59228.6,51902.0,24410.0,10641.2,21250.1,56815.1,8670.16,0.38668824131356294
90,-25.8566,52481.7,95475.4,45272.8,38694.0,14196.3,6259.75,14414.1,49259.9,5327.3,0.40105381559573106
91,-1.43746,67555.9,124902.0,64117.2,50060.0,19097.9,9316.67,21041.5,64651.7,6485.52,0.3215392378093307
92,-11.779000000000002,57048.7,105436.0,54842.8,43370.1,19798.4,10194.1,21691.6,60846.9,9173.54,0.5681946084379801
93,-8.12917,64194.7,118607.0,56137.5,47616.5,19074.1,8656.09,18481.9,58616.8,6838.1,0.44672739632235525
94,-2.87771,67310.8,124558.0,56894.7,50768.7,20601.5,9261.27,20051.0,62899.5,8640.5,0.40744504038952556
95,7.000839999999998,74126.6,143469.0,61064.4,57231.6,25292.9,10323.7,21624.0,61083.7,9588.79,0.15024711989936812
96,-12.6083,62290.0,117051.0,53200.6,46443.5,17607.5,7312.19,16394.1,52854.4,5654.24,0.4327868577242404
97,3.95769,68789.5,125454.0,62370.3,52331.1,22079.5,11513.1,24570.9,72729.6,10775.9,0.3557924026191345
98,1.7721,63145.3,104494.0,56934.9,48352.4,20937.8,13252.3,28568.9,89366.9,16087.6,0.3573260305317454
base,1.06913,67921.7,124165.0,60683.3,51459.4,21006.8,10215.3,22806.0,69918.3,9917.92,0.3759106326170025
